TradDt,BizDt,Sgmt,Src,Xchg,ClrMmbId,Brkr,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,ClntTp,ClntId,FullyExctdConfSnt,OrgnlCtdnPtcptId,CtdnPtcptId,SttlmTp,SctiesSttlmTxId,BuySellInd,TradQty,NewBrdLotQty,Pric,UnqTradIdr,RptdTxSts,TradDtTm,UpdDt,OrdrRef,OrdrDtTm,InstgUsr,CtclId,TradRegnOrgn,OrdrTp,BlckDealInd,SttlmCycl,MktTpandId,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532466,INE881D01027,OFSS,A,,,,,ORACLE FINANCIAL SERVICES SOFT,C,10000001,,,,NORMAL1,,B,1,1,11725.00,6913800,OR,2026-07-16T12:03:00,2026-07-16T12:03:00,1784181670148288945,2026-07-16T12:01:01,2111_2111,5555555555555588,1,P,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532466,INE881D01027,OFSS,A,,,,,ORACLE FINANCIAL SERVICES SOFT,C,10000002,,,,NORMAL1,,B,2,1,11705.00,7093900,OR,2026-07-16T12:10:49,2026-07-16T12:10:49,1784181670148289337,2026-07-16T12:01:20,2111_2111,5555555555555588,1,P,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,500233,INE217B01036,KAJARIACER,A,,,,,KAJARIA CERAMICS LTD.,C,10000003,,,,NORMAL1,,S,1,1,1237.45,8344700,OR,2026-07-16T12:01:57,2026-07-16T12:01:57,1784179326058750635,2026-07-16T12:01:57,2111_2111,5555555555555588,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,544574,INE976I01016,TATACAP,A,,,,,Tata Capital Limited,C,10000004,,,,NORMAL1,,S,3,1,356.40,5050900,OR,2026-07-16T12:02:18,2026-07-16T12:02:18,1784181130136310452,2026-07-16T12:02:18,901_901,5555555555555012,1,P,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532540,INE467B01029,TCS,A,,,,,TATA CONSULTANCY SERVICES LTD.,C,10000005,,,,NORMAL1,,S,104,1,2226.55,4873900,OR,2026-07-16T12:02:46,2026-07-16T12:02:46,1784181544645267334,2026-07-16T12:02:46,901_901,5555555555555012,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532540,INE467B01029,TCS,A,,,,,TATA CONSULTANCY SERVICES LTD.,C,10000006,,,,NORMAL1,,S,25,1,2226.50,4874200,OR,2026-07-16T12:02:46,2026-07-16T12:02:46,1784181544645267334,2026-07-16T12:02:46,901_901,5555555555555012,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532540,INE467B01029,TCS,A,,,,,TATA CONSULTANCY SERVICES LTD.,C,10000007,,,,NORMAL1,,S,34,1,2226.45,4874500,OR,2026-07-16T12:02:46,2026-07-16T12:02:46,1784181544645267334,2026-07-16T12:02:46,901_901,5555555555555012,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532540,INE467B01029,TCS,A,,,,,TATA CONSULTANCY SERVICES LTD.,C,10000008,,,,NORMAL1,,S,151,1,2226.40,4874800,OR,2026-07-16T12:02:46,2026-07-16T12:02:46,1784181544645267334,2026-07-16T12:02:46,901_901,5555555555555012,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532540,INE467B01029,TCS,A,,,,,TATA CONSULTANCY SERVICES LTD.,C,10000009,,,,NORMAL1,,S,11,1,2226.35,4875000,OR,2026-07-16T12:02:46,2026-07-16T12:02:46,1784181544645267334,2026-07-16T12:02:46,901_901,5555555555555012,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,532540,INE467B01029,TCS,A,,,,,TATA CONSULTANCY SERVICES LTD.,C,10000010,,,,NORMAL1,,S,175,1,2226.30,4875200,OR,2026-07-16T12:02:46,2026-07-16T12:02:46,1784181544645267334,2026-07-16T12:02:46,901_901,5555555555555012,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,524332,INE412G01024,BCLIND,B,,,,,BCL INDUSTRIES LIMITED,C,10000011,,,,NORMAL1,,S,450,1,36.11,4402600,OR,2026-07-16T12:02:48,2026-07-16T12:02:48,1784180113440542110,2026-07-16T12:02:48,901_901,5555555555555012,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,BSE,BSE,,6341,STK,500233,INE217B01036,KAJARIACER,A,,,,,KAJARIA CERAMICS LTD.,C,10000012,,,,NORMAL1,,B,1,1,1238.00,8419600,OR,2026-07-16T12:05:34,2026-07-16T12:05:34,1784179326058776812,2026-07-16T12:05:34,2111_2111,5555555555555588,1,P,N,1,NR,,,,,
