TradDt,BizDt,Sgmt,Src,Xchg,ClrMmbId,Brkr,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,ClntTp,ClntId,FullyExctdConfSnt,OrgnlCtdnPtcptId,CtdnPtcptId,SttlmTp,SctiesSttlmTxId,BuySellInd,TradQty,NewBrdLotQty,Pric,UnqTradIdr,RptdTxSts,TradDtTm,UpdDt,OrdrRef,OrdrDtTm,InstgUsr,CtclId,TradRegnOrgn,OrdrTp,BlckDealInd,SttlmCycl,MktTpandId,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,825292,,SENSEX,,2026-07-16,2026-07-16,77300.00,CE,SENSEX2671677300CE,C,10000001,,,,,,S,20,20,167.45,7027040,OR,2026-07-16T09:37:00,2026-07-16T09:37:00,1784174673618906032,2026-07-16T09:37:00,1113_1113,5555555555555539,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,825292,,SENSEX,,2026-07-16,2026-07-16,77300.00,CE,SENSEX2671677300CE,C,10000002,,,,,,S,20,20,192.35,8427040,OR,2026-07-16T09:42:01,2026-07-16T09:42:01,1784175002978630923,2026-07-16T09:42:01,2112_2112,5555555555555588,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,825292,,SENSEX,,2026-07-16,2026-07-16,77300.00,CE,SENSEX2671677300CE,C,10000003,,,,,,S,20,20,186.00,7493880,OR,2026-07-16T09:37:55,2026-07-16T09:37:55,1784174673618972687,2026-07-16T09:37:10,902_902,5555555555555012,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,825292,,SENSEX,,2026-07-16,2026-07-16,77300.00,CE,SENSEX2671677300CE,C,10000004,,,,,,S,20,20,210.35,4804710,OR,2026-07-16T09:28:08,2026-07-16T09:28:08,1784174195810560329,2026-07-16T09:28:08,2112_2112,5555555555555588,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,825292,,SENSEX,,2026-07-16,2026-07-16,77300.00,CE,SENSEX2671677300CE,C,10000005,,,,,,S,20,20,181.20,7165560,OR,2026-07-16T09:37:14,2026-07-16T09:37:14,1784174822878021670,2026-07-16T09:37:14,2112_2112,1111111111111088,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,828283,,SENSEX,,2026-07-16,2026-07-16,77600.00,CE,SENSEX2671677600CE,C,10000006,,,,,,S,20,20,99.70,1347460,OR,2026-07-16T09:17:05,2026-07-16T09:17:05,1784173500006742188,2026-07-16T09:17:05,2112_2112,5555555555555588,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,828283,,SENSEX,,2026-07-16,2026-07-16,77600.00,CE,SENSEX2671677600CE,C,10000007,,,,,,S,20,20,109.20,2924310,OR,2026-07-16T09:20:00,2026-07-16T09:20:00,1784173786558073377,2026-07-16T09:20:00,2112_2112,5555555555555588,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,828283,,SENSEX,,2026-07-16,2026-07-16,77600.00,CE,SENSEX2671677600CE,C,10000008,,,,,,S,20,20,96.30,4622990,OR,2026-07-16T09:23:58,2026-07-16T09:23:58,1784173923262687448,2026-07-16T09:23:58,2112_2112,5555555555555588,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,828283,,SENSEX,,2026-07-16,2026-07-16,77600.00,CE,SENSEX2671677600CE,C,10000009,,,,,,S,40,20,84.10,9325280,OR,2026-07-16T09:43:55,2026-07-16T09:43:55,1784175112584681296,2026-07-16T09:43:55,2112_2112,5555555555555588,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,828283,,SENSEX,,2026-07-16,2026-07-16,77600.00,CE,SENSEX2671677600CE,C,10000010,,,,,,S,120,20,84.40,9340900,OR,2026-07-16T09:43:58,2026-07-16T09:43:58,1784175112584696522,2026-07-16T09:43:58,2112_2112,1111111111111088,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,828283,,SENSEX,,2026-07-16,2026-07-16,77600.00,CE,SENSEX2671677600CE,C,10000011,,,,,,S,80,20,87.00,9531120,OR,2026-07-16T09:44:39,2026-07-16T09:44:39,1784175112584831519,2026-07-16T09:44:23,1113_1113,5555555555555539,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,BSE,BSE,,6341,IDO,828968,,SENSEX,,2026-07-16,2026-07-16,77200.00,PE,SENSEX2671677200PE,C,10000012,,,,,,S,500,20,75.00,2146570,OR,2026-07-16T09:19:36,2026-07-16T09:19:36,1784173640107685347,2026-07-16T09:19:36,2112_2112,5555555555555588,1,P,,,,,,,,
