TradDt,BizDt,Sgmt,Src,Xchg,ClrMmbId,Brkr,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,ClntTp,ClntId,FullyExctdConfSnt,OrgnlCtdnPtcptId,CtdnPtcptId,SttlmTp,SctiesSttlmTxId,BuySellInd,TradQty,NewBrdLotQty,Pric,UnqTradIdr,RptdTxSts,TradDtTm,UpdDt,OrdrRef,OrdrDtTm,InstgUsr,CtclId,TradRegnOrgn,OrdrTp,BlckDealInd,SttlmCycl,MktTpandId,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000001,, ,,NORMAL1,,S,35,1,261.00,800047451,OR,2026-07-16T10:00:07,2026-07-16T10:00:07,1400000000091822,2026-07-16T10:00:07,37967,333333333333100,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000002,, ,,NORMAL1,,S,70,1,260.14,800049786,OR,2026-07-16T10:00:11,2026-07-16T10:00:11,1400000000096819,2026-07-16T10:00:11,37967,333333333333100,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000003,, ,,NORMAL1,,S,20,1,262.55,800055393,OR,2026-07-16T10:00:19,2026-07-16T10:00:19,1400000000107047,2026-07-16T10:00:19,4747,333333333333122,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000004,, ,,NORMAL1,,S,500,1,260.05,800074952,OR,2026-07-16T10:01:20,2026-07-16T10:01:20,1400000000150431,2026-07-16T10:01:20,37967,333333333333100,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000005,, ,,NORMAL1,,S,35,1,262.37,800084325,OR,2026-07-16T10:02:03,2026-07-16T10:02:03,1400000000150441,2026-07-16T10:01:20,37967,333333333333100,1,P,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000006,, ,,NORMAL1,,S,20,1,264.00,800086512,OR,2026-07-16T10:02:11,2026-07-16T10:02:11,1400000000172099,2026-07-16T10:02:11,37967,333333333333100,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000007,, ,,NORMAL1,,S,70,1,265.00,800089682,OR,2026-07-16T10:02:23,2026-07-16T10:02:23,1400000000156157,2026-07-16T10:01:32,37967,333333333333100,1,P,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000008,, ,,NORMAL1,,S,10,1,260.00,800133563,OR,2026-07-16T10:10:04,2026-07-16T10:10:04,1400000000116393,2026-07-16T10:09:04,37967,333333333333100,1,P,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000009,, ,,NORMAL1,,S,70,1,259.02,800134391,OR,2026-07-16T10:10:20,2026-07-16T10:10:20,1400000000308697,2026-07-16T10:10:20,37967,333333333333100,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000010,, ,,NORMAL1,,S,15,1,259.00,800135700,OR,2026-07-16T10:11:01,2026-07-16T10:11:01,1400000000312774,2026-07-16T10:11:01,37967,333333333333100,1,A,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000011,, ,,NORMAL1,,S,30,1,257.63,800147231,OR,2026-07-16T10:15:46,2026-07-16T10:15:46,1400000000311715,2026-07-16T10:15:39,37967,333333333333100,1,P,N,1,NR,,,,,
2026-07-16,2026-07-16,CM,NSE,NSE,,07708,STK,764126,INE17IR01028,LASERPOWER,EQ,,,,,LASER POWER & INFRA LTD,C,10000012,, ,,NORMAL1,,S,10,1,258.20,800149576,OR,2026-07-16T10:17:00,2026-07-16T10:17:00,1400000000343683,2026-07-16T10:16:58,37967,333333333333100,1,P,N,1,NR,,,,,
