TradDt,BizDt,Sgmt,Src,Xchg,ClrMmbId,Brkr,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,ClntTp,ClntId,FullyExctdConfSnt,OrgnlCtdnPtcptId,CtdnPtcptId,SttlmTp,SctiesSttlmTxId,BuySellInd,TradQty,NewBrdLotQty,Pric,UnqTradIdr,RptdTxSts,TradDtTm,UpdDt,OrdrRef,OrdrDtTm,InstgUsr,CtclId,TradRegnOrgn,OrdrTp,BlckDealInd,SttlmCycl,MktTpandId,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STF,61111,,ASTRAL,,2026-07-28,2026-07-28, , ,ASTRAL26JULFUT,C,10000001, , ,,,,S,425,425,1365.00,628,OR,2026-07-16T09:15:06,2026-07-16T09:15:06,2500000000001798,2026-07-16T09:06:21,2279,333333333333100,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STF,61111,,ASTRAL,,2026-07-28,2026-07-28, , ,ASTRAL26JULFUT,C,10000002, , ,,,,B,425,425,1359.00,2419,OR,2026-07-16T09:15:37,2026-07-16T09:15:37,2500000000445238,2026-07-16T09:15:29,2279,333333333333100,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,137659,,RVNL,,2026-07-28,2026-07-28,230.00,CE,RVNL26JUL230CE,C,10000003, , ,,,,B,1925,1925,5.96,6688,OR,2026-07-16T09:16:52,2026-07-16T09:16:52,2500000001950234,2026-07-16T09:16:52,2279,111111111111100,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,137659,,RVNL,,2026-07-28,2026-07-28,230.00,CE,RVNL26JUL230CE,C,10000004, , ,,,,B,1925,1925,5.97,6689,OR,2026-07-16T09:16:52,2026-07-16T09:16:52,2500000001950234,2026-07-16T09:16:52,2279,111111111111100,1,A,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,71690,,AXISBANK,,2026-07-28,2026-07-28,1320.00,CE,AXISBANK26JUL1320CE,C,10000005, , ,,,,B,1250,625,26.00,8248,OR,2026-07-16T09:17:25,2026-07-16T09:17:25,2500000000164697,2026-07-16T09:15:13,2279,333333333333100,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,71690,,AXISBANK,,2026-07-28,2026-07-28,1320.00,CE,AXISBANK26JUL1320CE,C,10000006, , ,,,,B,1250,625,24.20,12710,OR,2026-07-16T09:19:19,2026-07-16T09:19:19,2500000004175073,2026-07-16T09:19:19,2279,333333333333100,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,41925,,ADANIENT,,2026-07-28,2026-07-28,3240.00,CE,ADANIENT26JUL3240CE,C,10000007, , ,,,,B,309,309,54.20,13956,OR,2026-07-16T09:19:35,2026-07-16T09:19:36,2500000002240792,2026-07-16T09:17:11,2279,333333333333100,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STF,61114,,AXISBANK,,2026-07-28,2026-07-28, , ,AXISBANK26JULFUT,C,10000008, , ,,,,B,625,625,1306.00,17717,OR,2026-07-16T09:21:21,2026-07-16T09:21:21,2500000005998868,2026-07-16T09:21:13,2279,333333333333100,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STF,58091,,ADANIPOWER,,2026-08-25,2026-08-25, , ,ADANIPOWER26AUGFUT,C,10000009, , ,,,,B,3550,3550,219.66,21282,OR,2026-07-16T09:22:44,2026-07-16T09:22:44,2500000000034177,2026-07-16T09:15:02,2533,333333333333116,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,71690,,AXISBANK,,2026-07-28,2026-07-28,1320.00,CE,AXISBANK26JUL1320CE,C,10000010, , ,,,,S,2500,625,24.65,25472,OR,2026-07-16T09:25:00,2026-07-16T09:25:00,2500000007566596,2026-07-16T09:24:12,2279,333333333333100,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,72813,,AUROPHARMA,,2026-07-28,2026-07-28,1500.00,PE,AUROPHARMA26JUL1500PE,C,10000011, , ,,,,B,550,550,10.60,26080,OR,2026-07-16T09:25:25,2026-07-16T09:25:25,2500000006192335,2026-07-16T09:21:56,2533,333333333333116,1,P,,,,,,,,
2026-07-16,2026-07-16,FO,NSE,NSE,,07708,STO,69954,,ASIANPAINT,,2026-07-28,2026-07-28,2800.00,CE,ASIANPAINT26JUL2800CE,C,10000012, , ,,,,S,250,250,10.00,26906,OR,2026-07-16T09:25:50,2026-07-16T09:25:50,2500000003304129,2026-07-16T09:18:18,2279,333333333333100,1,P,,,,,,,,
